filename,read_type,strand,lane,read_count
19_L1_SRR18328083.sra_2.fastq.gz,raw,forward,1,13147340
19_L1_SRR18328083.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,11967656
19_L2_SRR18328072.sra_1.fastq.gz,raw,forward,2,13425305
19_L2_SRR18328072.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,12744205
19_L2_SRR18328072.sra_2.fastq.gz,raw,forward,2,13425305
19_L2_SRR18328072.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,12744205
2_L1_SRR8581142.sra_1.fastq.gz,raw,forward,1,35723425
2_L1_SRR8581142.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,28269749
2_L1_SRR8581142.sra_2.fastq.gz,raw,forward,1,35723425
2_L1_SRR8581142.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,28269749
20_L1_SRR8581157.sra_1.fastq.gz,raw,forward,1,36775870
20_L1_SRR8581157.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,28792290
20_L1_SRR8581157.sra_2.fastq.gz,raw,forward,1,36775870
20_L1_SRR8581157.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,28792290
21_L1_SRR8581156.sra_1.fastq.gz,raw,forward,1,34731821
21_L1_SRR8581156.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,27238499
21_L1_SRR8581156.sra_2.fastq.gz,raw,forward,1,34731821
21_L1_SRR8581156.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,27238499
22_L1_SRR18328040.sra_1.fastq.gz,raw,forward,1,13534151
22_L1_SRR18328040.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,12127575
22_L1_SRR18328040.sra_2.fastq.gz,raw,forward,1,13534151
22_L1_SRR18328040.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,12127575
22_L2_SRR18328029.sra_1.fastq.gz,raw,forward,2,13814030
22_L2_SRR18328029.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,12910241
22_L2_SRR18328029.sra_2.fastq.gz,raw,forward,2,13814030
22_L2_SRR18328029.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,12910241
23_L1_SRR18328018.sra_1.fastq.gz,raw,forward,1,17633819
23_L1_SRR18328018.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15969665
23_L1_SRR18328018.sra_2.fastq.gz,raw,forward,1,17633819
23_L1_SRR18328018.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15969665
23_L2_SRR18328007.sra_1.fastq.gz,raw,forward,2,18029936
23_L2_SRR18328007.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,17023291
23_L2_SRR18328007.sra_2.fastq.gz,raw,forward,2,18029936
23_L2_SRR18328007.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,17023291
